,old_gene_symbol,new_gene_symbol,ensembl_gene_id,hier_cluster
0,ACTR3B,ACTR3B,ENSG00000133627,1
1,ANLN,ANLN,ENSG00000011426,1
2,BAG1,BAG1,ENSG00000107262,4
3,BCL2,BCL2,ENSG00000171791,6
4,BIRC5,BIRC5,ENSG00000089685,1
5,BLVRA,BLVRA,ENSG00000106605,5
6,CCNB1,CCNB1,ENSG00000134057,4
7,CCNE1,CCNE1,ENSG00000105173,2
8,CDC20,CDC20,ENSG00000117399,4
9,CDC6,CDC6,ENSG00000094804,2
10,CDCA1,NUF2,ENSG00000143228,2
11,CDH3,CDH3,ENSG00000062038,3
12,CENPF,CENPF,ENSG00000117724,1
13,CEP55,CEP55,ENSG00000138180,2
14,CXXC5,CXXC5,ENSG00000171604,5
15,EGFR,EGFR,ENSG00000146648,2
16,ERBB2,ERBB2,ENSG00000141736,5
17,ESR1,ESR1,ENSG00000091831,5
18,EXO1,EXO1,ENSG00000174371,2
19,FGFR4,FGFR4,ENSG00000160867,2
20,FOXA1,FOXA1,ENSG00000129514,5
21,FOXC1,FOXC1,ENSG00000054598,2
22,GPR160,GPR160,ENSG00000173890,4
23,GRB7,GRB7,ENSG00000141738,4
24,KIF2C,KIF2C,ENSG00000142945,1
25,KNTC2,NDC80,ENSG00000080986,2
26,KRT14,KRT14,ENSG00000186847,6
27,KRT17,KRT17,ENSG00000128422,6
28,KRT5,KRT5,ENSG00000186081,6
29,MAPT,MAPT,ENSG00000186868,6
30,MDM2,MDM2,ENSG00000135679,4
31,MELK,MELK,ENSG00000165304,2
32,MIA,MIA,ENSG00000261857,2
33,MKI67,MKI67,ENSG00000148773,1
34,MLPH,MLPH,ENSG00000115648,5
35,MMP11,MMP11,ENSG00000099953,5
36,MYBL2,MYBL2,ENSG00000101057,1
37,MYC,MYC,ENSG00000136997,3
38,NAT1,NAT1,ENSG00000171428,6
39,ORC6L,ORC6,ENSG00000091651,2
40,PGR,PGR,ENSG00000082175,3
41,PHGDH,PHGDH,ENSG00000092621,4
42,PTTG1,PTTG1,ENSG00000164611,4
43,RRM2,RRM2,ENSG00000171848,1
44,SFRP1,SFRP1,ENSG00000104332,6
45,SLC39A6,SLC39A6,ENSG00000141424,5
46,TMEM45B,TMEM45B,ENSG00000151715,3
47,TYMS,TYMS,ENSG00000176890,4
48,UBE2C,UBE2C,ENSG00000175063,4
49,UBE2T,UBE2T,ENSG00000077152,4
